Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Subjunctive,Submachine Gun,Lightweight,Submachine Gun Lightweight,Arc,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.05,1.00,14.00,0.00,1.275,1.275,6.300,0.126,10.46,13.33,15,33,43,69,35,52,92,36,0,14,"""Superb handling. Move faster with this weapon equipped."" ",-,Submachine Gun -,Submachine Gun Lightweight -,Subjunctive,,,,,,,,FALSE,TRUE,FALSE,
High Albedo,Sidearm,Adaptive Burst,Sidearm Adaptive Burst,Kinetic,Primary,5348,1.00,491,32,20,1.64,0.50,6,100%,6,0,2.00,1.10,10,3.33,1.07,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.65,14.87,80,31,69,51,30,71,99,27,12,12,"""Well-rounded, reliable, fires a 3-round burst."" ",8.5602,Sidearm 8.56017716875336,Sidearm Adaptive Burst 8.56017716875336,High Albedo,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
Subtle Calamity,Combat Bow,Precision,Combat Bow Precision,Void,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,1.20,1.00,-,-,-,-,-,-,-,-,76,79,46,52,46,70,0,1,0,18,"""Compound Bow. Longer draw time optimized for damage."" ",-,Combat Bow -,Combat Bow Precision -,Subtle Calamity,,,,,,,,FALSE,TRUE,FALSE,
Peacebond,Sidearm,Adaptive Burst,Sidearm Adaptive Burst,Stasis,Primary,5348,1.00,491,32,20,1.64,0.50,6,100%,6,0,2.00,1.10,10,3.33,1.07,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.72,14.95,80,33,79,50,29,69,92,30,25,12,"""Well-rounded, reliable, fires a 3-round burst."" ",9.7059,Sidearm 9.7059011629694,Sidearm Adaptive Burst 9.7059011629694,Peacebond,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Stasis Primary
The Last Dance,Sidearm,Adaptive Burst,Sidearm Adaptive Burst,Arc,Primary,5348,1.00,491,32,20,1.64,0.50,6,100%,6,0,2.00,1.10,10,3.33,1.07,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.59,14.79,75,29,84,52,28,70,97,27,12,12,"""Well-rounded, reliable, fires a 3-round burst."" ",8.5730,Sidearm 8.57298169436243,Sidearm Adaptive Burst 8.57298169436243,The Last Dance,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Arc Primary
The Vision,Sidearm,Adaptive Burst,Sidearm Adaptive Burst,Arc,Primary,5348,1.00,491,32,20,1.64,0.50,6,100%,6,0,2.00,1.10,10,3.33,1.07,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.62,14.83,75,30,80,50,32,65,90,27,12,12,"""Well-rounded, reliable, fires a 3-round burst."" ",8.4765,Sidearm 8.47648781081768,Sidearm Adaptive Burst 8.47648781081768,The Vision,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Sidearm Arc Primary
Brass Attacks,Sidearm,Aggressive Burst,Sidearm Aggressive Burst,Void,Primary,5331,1.00,325,45,32,1.39,0.73,5,60%,3,2,2.50,0.83,6,3.00,1.05,0.70,12.00,0.10,1.175,1.275,11.600,0.034,12.99,16.57,56,41,38,36,27,89,90,24,12,13,"""Hard-hitting two-burst fire.""",7.8300,Sidearm 7.83000238823296,Sidearm Aggressive Burst 7.83000238823296,Brass Attacks,0.9,1.00,0.95,1.00,0.90,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Void Primary
Empirical Evidence,Sidearm,Aggressive Burst,Sidearm Aggressive Burst,Kinetic,Primary,5331,1.00,325,45,32,1.39,0.73,5,60%,3,2,2.50,0.83,6,3.00,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.37,15.71,56,52,33,34,24,86,98,24,21,12,"""Hard-hitting two-burst fire.""",10.0775,Sidearm 10.0774574184603,Sidearm Aggressive Burst 10.0774574184603,Empirical Evidence,1.05,1.00,1.03,1.00,1.05,1.00,1.00,TRUE,FALSE,FALSE,Sidearm Kinetic Primary
Forgiveness,Sidearm,Aggressive Burst,Sidearm Aggressive Burst,Arc,Primary,5331,1.00,325,45,32,1.39,0.73,5,60%,3,2,2.50,0.83,6,3.00,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.64,16.03,56,60,41,39,24,90,96,24,25,12,"""Hard-hitting two-burst fire.""",10.5567,Sidearm 10.5567385066718,Sidearm Aggressive Burst 10.5567385066718,Forgiveness,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Arc Primary
Cryosthesia 77K,Sidearm,Cryosthesia 77K,Sidearm Cryosthesia 77K,Stasis,Primary,4742,1.00,257,56,40,1.39,0.70,4,50%,2,2,-,0.93,5,-,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,14.05,16.51,51,72,61,47,46,93,92,12,28,12,See Exotic box below for more information,-,Sidearm -,Sidearm Cryosthesia 77K -,Cryosthesia 77K,,,,,,,,FALSE,FALSE,TRUE,Sidearm Stasis Primary
Devil's Ruin,Sidearm,Devil's Ruin,Sidearm Devil's Ruin,Solar,Primary,4683,1.00,300,51,37,1.39,0.60,4,100%,4,0,-,1.00,6,-,1.03,0.69,12.00,0.00,1.175,1.175,11.600,0.034,13.64,16.03,49,60,65,39,15,56,100,15,23,12,See Exotic box below for more information,-,Sidearm -,Sidearm Devil's Ruin -,Devil's Ruin,,,,,,,,FALSE,FALSE,TRUE,Sidearm Solar Primary
Swift Ride XE8375,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Arc,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,0.95,1.00,17.00,0.00,1.675,2,16.000,0.080,19.44,32.56,29,43,61,46,46,65,70,38,0,17,"""A well-rounded grip, reliable and sturdy."" ",-,Pulse Rifle -,Pulse Rifle Adaptive -,Swift Ride XE8375,,,,,,,,FALSE,TRUE,FALSE,
Forerunner,Sidearm,Forerunner,Sidearm Forerunner,Kinetic,Special,10416,1.00,200,69,39,1.78,0.60,3,100%,3,0,-,1.20,5,-,1.17,0.75,20.00,0.00,1.175,1.175,11.600,0.161,27.70,32.55,35,100,87,65,95,60,96,15,27,20,See Exotic box below for more information,-,Sidearm -,Sidearm Forerunner -,Forerunner,,,,,,,,FALSE,FALSE,TRUE,Sidearm Kinetic Special
Farewell,Sidearm,Lightweight,Sidearm Lightweight,Kinetic,Primary,5284,1.00,360,44,31,1.41,0.67,5,60%,3,2,-,1.00,7,-,1.02,0.68,12.00,0.00,1.175,1.175,11.600,0.034,12.21,14.35,43,18,40,64,49,71,96,15,12,12,"""Superb handling. Move faster with this weapon equipped."" ",8.1211,Sidearm 8.12114663326729,Sidearm Lightweight 8.12114663326729,Farewell,0.95,0.95,0.95,0.95,1.00,0.95,0.90,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
Redback-5si,Sidearm,Lightweight,Sidearm Lightweight,Solar,Primary,5284,1.00,360,44,31,1.41,0.67,5,60%,3,2,-,1.00,7,-,1.02,0.68,12.00,0.00,1.175,1.175,11.600,0.034,12.62,14.83,43,30,43,67,53,69,89,15,20,12,"""Superb handling. Move faster with this weapon equipped."" ",9.4259,Sidearm 9.42586579158843,Sidearm Lightweight 9.42586579158843,Redback-5si,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sidearm Solar Primary
Seventh Seraph SI-2,Sidearm,Lightweight,Sidearm Lightweight,Void,Primary,5284,1.00,360,44,31,1.41,0.67,5,60%,3,2,-,1.00,7,-,1.02,0.68,12.00,0.00,1.175,1.175,11.600,0.034,12.11,14.23,43,15,36,66,47,68,95,15,12,12,"""Superb handling. Move faster with this weapon equipped."" ",7.8536,Sidearm 7.8535708183034,Sidearm Lightweight 7.8535708183034,Seventh Seraph SI-2,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sidearm Void Primary
Tango-45 XK5094,Scout Rifle,Precision,Scout Rifle Precision,Solar,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,0.95,1.00,20.00,0.00,1.975,1.975,29.200,0.169,37.65,74.36,62,50,50,45,44,65,69,16,0,20,"""This weapon's recoil pattern is more predictably vertical."" ",-,Scout Rifle -,Scout Rifle Precision -,Tango-45 XK5094,,,,,,,,FALSE,TRUE,FALSE,
Spoiler Alert,Sidearm,Lightweight,Sidearm Lightweight,Kinetic,Primary,5284,1.00,360,44,31,1.41,0.67,5,60%,3,2,-,1.00,7,-,1.02,0.68,12.00,0.00,1.175,1.175,11.600,0.034,12.18,14.31,43,17,40,65,51,65,87,15,12,12,"""Superb handling. Move faster with this weapon equipped."" ",7.9747,Sidearm 7.97465922908872,Sidearm Lightweight 7.97465922908872,Spoiler Alert,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
A Swift Verdict,Sidearm,Precision,Sidearm Precision,Void,Primary,4742,1.00,257,56,40,1.39,0.70,4,50%,2,2,-,0.93,5,-,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.37,15.71,51,52,40,40,37,85,95,12,12,12,"""This weapon's recoil pattern is more predictably vertical."" ",8.3037,Sidearm 8.30366588252479,Sidearm Precision 8.30366588252479,A Swift Verdict,0.95,0.95,0.95,0.95,1.00,0.95,0.90,FALSE,FALSE,FALSE,Sidearm Void Primary
Boudica-C,Sidearm,Precision,Sidearm Precision,Kinetic,Primary,4742,1.00,257,56,40,1.39,0.70,4,50%,2,2,-,0.93,5,-,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.74,16.15,51,63,43,33,25,85,98,12,22,12,"""This weapon's recoil pattern is more predictably vertical."" ",9.0041,Sidearm 9.0040915465711,Sidearm Precision 9.0040915465711,Boudica-C,0.95,0.95,0.98,0.95,1.00,0.95,0.95,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
Enigma's Draw,Sidearm,Precision,Sidearm Precision,Kinetic,Primary,4742,1.00,257,56,40,1.39,0.70,4,50%,2,2,-,0.93,5,-,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.27,15.59,51,49,42,32,20,86,90,12,12,12,"""This weapon's recoil pattern is more predictably vertical."" ",7.7336,Sidearm 7.73357310080262,Sidearm Precision 7.73357310080262,Enigma's Draw,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
Tatara Gaze,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Arc,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,1.05,1.05,-,-,-,-,-,-,-,-,90,73,30,33,41,45,79,3,0,50,"""High damage, high recoil."" ",-,Sniper Rifle -,Sniper Rifle Aggressive -,Tatara Gaze,,,,,,,,FALSE,TRUE,FALSE,
Lonesome,Sidearm,Precision,Sidearm Precision,Kinetic,Primary,4742,1.00,257,56,40,1.39,0.70,4,50%,2,2,-,0.93,5,-,1.05,0.70,12.00,0.00,1.175,1.175,11.600,0.034,13.71,16.11,51,62,58,42,33,86,90,12,12,12,"""This weapon's recoil pattern is more predictably vertical."" ",8.8279,Sidearm 8.82787369531463,Sidearm Precision 8.82787369531463,Lonesome,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sidearm Kinetic Primary
Brigand's Law,Sidearm,Rapid-Fire,Sidearm Rapid-Fire,Arc,Primary,4881,1.00,450,35,25,1.41,0.67,6,83%,5,1,-,0.93,8,-,1.04,0.70,12.00,0.00,1.175,1.175,11.600,0.034,12.28,14.43,35,20,63,51,41,59,95,15,14,12,"""Full Auto. Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.4442,Sidearm 9.44421110299347,Sidearm Rapid-Fire 9.44421110299347,Brigand's Law,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Sidearm Arc Primary
Punching Out,Sidearm,Rapid-Fire,Sidearm Rapid-Fire,Solar,Primary,4881,1.00,450,35,25,1.41,0.67,6,83%,5,1,-,0.93,8,-,1.04,0.70,12.00,0.00,1.175,1.175,11.600,0.034,12.31,14.47,35,21,63,52,43,56,88,15,12,12,"""Full Auto. Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",8.7789,Sidearm 8.77890515662746,Sidearm Rapid-Fire 8.77890515662746,Punching Out,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Solar Primary
Tempered Dynamo,Fusion Rifle,Precision,Fusion Rifle Precision,Arc,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,1.05,1.00,16.00,-0.10,1.300,1.2,8.200,0.036,10.22,12.26,80,56,52,35,31,65,80,5,0,15,"""This weapon's recoil pattern is more predictably vertical."" ",-,Fusion Rifle -,Fusion Rifle Precision -,Tempered Dynamo,,,,,,,,FALSE,TRUE,FALSE,
Temporal Clause,Machine Gun,Rapid-Fire,Machine Gun Rapid-Fire,Void,Heavy,8818,1.00,900,24,18,1.34,0.53,9,67%,6,3,-,0.67,11,-,0.90,1.00,16.00,0.00,1.575,1.575,10.050,0.107,13.58,21.39,25,33,38,39,67,68,59,75,0,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Machine Gun -,Machine Gun Rapid-Fire -,Temporal Clause,,,,,,,,FALSE,TRUE,FALSE,
The Fool's Remedy,Sidearm,Rapid-Fire,Sidearm Rapid-Fire,Solar,Primary,4881,1.00,450,35,25,1.41,0.67,6,83%,5,1,-,0.93,8,-,1.04,0.70,12.00,0.00,1.175,1.175,11.600,0.034,12.52,14.71,35,27,60,59,38,58,94,15,12,12,"""Full Auto. Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.1232,Sidearm 9.12319355813895,Sidearm Rapid-Fire 9.12319355813895,The Fool's Remedy,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Sidearm Solar Primary
Ten Paces,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.15,1.15,14.00,0.00,1.375,1.375,16.000,0.096,20.42,28.07,84,46,53,44,46,71,87,10,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Hand Cannon -,Hand Cannon Adaptive -,Ten Paces,,,,,,,,FALSE,TRUE,FALSE,
Terran Wind,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Solar,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,0.90,0.90,-,-,-,-,-,-,-,-,20,45,25,26,25,30,80,5,0,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Grenade Launcher -,Grenade Launcher Rapid-Fire -,Terran Wind,,,,,,,,FALSE,TRUE,FALSE,
Rat King,Sidearm,Rat King,Sidearm Rat King,Kinetic,Primary,9902,1.00,300,51,37,1.39,0.60,4,100%,4,0,-,1.00,6,-,1.03,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.86,15.11,49,37,57,45,50,60,80,15,31,12,See Exotic box below for more information,-,Sidearm -,Sidearm Rat King -,Rat King,,,,,,,,FALSE,FALSE,TRUE,Sidearm Kinetic Primary
Traveler's Chosen,Sidearm,Traveler's Chosen,Sidearm Traveler's Chosen,Kinetic,Primary,5137,1.00,300,51,37,1.39,0.60,4,100%,4,0,-,1.00,6,-,1.03,0.69,12.00,0.00,1.175,1.175,11.600,0.034,14.49,17.03,49,85,70,84,40,85,85,15,35,12,See Exotic box below for more information,-,Sidearm -,Sidearm Traveler's Chosen -,Traveler's Chosen,,,,,,,,FALSE,FALSE,TRUE,Sidearm Kinetic Primary
Trespasser,Sidearm,Trespasser,Sidearm Trespasser,Arc,Primary,5348,1.00,491,32,20,1.64,0.50,6,100%,6,0,2.00,1.10,10,3.33,1.07,0.69,12.00,0.00,1.175,1.175,11.600,0.034,12.93,15.19,75,39,85,53,33,70,100,30,29,12,See Exotic box below for more information,-,Sidearm -,Sidearm Trespasser -,Trespasser,,,,,,,,FALSE,FALSE,TRUE,Sidearm Arc Primary
The Cut and Run,Scout Rifle,High-Impact,Scout Rifle High-Impact,Arc,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,0.95,0.95,21.00,0.00,1.975,1.975,29.200,0.169,40.69,80.37,67,68,36,34,37,37,80,13,0,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Scout Rifle -,Scout Rifle High-Impact -,The Cut and Run,,,,,,,,FALSE,TRUE,FALSE,
1000 Yard Stare,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Void,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,52,45,42,41,50,66,4,2,44,"""A well-rounded grip, reliable and sturdy."" ",8.2809,Sniper Rifle 8.2808824833057,Sniper Rifle Adaptive 8.2808824833057,1000 Yard Stare,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Void Special
Adored,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Arc,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,50,46,47,38,36,68,4,2,45,"""A well-rounded grip, reliable and sturdy."" ",8.0438,Sniper Rifle 8.04381351716476,Sniper Rifle Adaptive 8.04381351716476,Adored,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Arc Special
Beloved,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Solar,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,50,46,47,38,36,68,4,3,40,"""A well-rounded grip, reliable and sturdy."" ",8.9321,Sniper Rifle 8.9320541438129,Sniper Rifle Adaptive 8.9320541438129,Beloved,1.1025,1.05,1.05,1.05,1.05,1.05,1.05,TRUE,FALSE,FALSE,Sniper Rifle Solar Special
Defiance of Yasmin,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Kinetic,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,54,46,46,42,68,62,4,4,40,"""A well-rounded grip, reliable and sturdy."" ",10.3210,Sniper Rifle 10.3209597744875,Sniper Rifle Adaptive 10.3209597744875,Defiance of Yasmin,1.1025,1.05,1.05,1.05,1.05,1.05,1.05,TRUE,FALSE,FALSE,Sniper Rifle Kinetic Special
Eye of Sol,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Kinetic,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,50,49,46,40,45,68,4,5,45,"""A well-rounded grip, reliable and sturdy."" ",9.8946,Sniper Rifle 9.89459785275491,Sniper Rifle Adaptive 9.89459785275491,Eye of Sol,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Far Future,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Solar,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,48,48,41,42,30,62,4,2,45,"""A well-rounded grip, reliable and sturdy."" ",7.7682,Sniper Rifle 7.76818787068935,Sniper Rifle Adaptive 7.76818787068935,Far Future,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Fugue-55,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Void,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,54,49,47,45,45,66,4,3,50,"""A well-rounded grip, reliable and sturdy."" ",8.1657,Sniper Rifle 8.16572012196836,Sniper Rifle Adaptive 8.16572012196836,Fugue-55,0.945,1.05,0.95,1.05,0.90,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Void Special
Gallu RR3,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Arc,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,48,42,38,37,35,61,4,2,40,"""A well-rounded grip, reliable and sturdy."" ",6.7758,Sniper Rifle 6.77580237481621,Sniper Rifle Adaptive 6.77580237481621,Gallu RR3,0.945,1.05,0.90,1.05,0.90,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Arc Special
Long Shadow,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Kinetic,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,44,42,40,40,32,59,4,2,50,"""A well-rounded grip, reliable and sturdy."" ",7.5674,Sniper Rifle 7.56744008525046,Sniper Rifle Adaptive 7.56744008525046,Long Shadow,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Shepherd's Watch,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Kinetic,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,47,42,38,37,32,60,4,2,50,"""A well-rounded grip, reliable and sturdy."" ",7.5475,Sniper Rifle 7.54748379283688,Sniper Rifle Adaptive 7.54748379283688,Shepherd's Watch,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Thoughtless,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Stasis,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,51,49,45,44,48,67,4,2,46,"""A well-rounded grip, reliable and sturdy."" ",8.4565,Sniper Rifle 8.45647125666523,Sniper Rifle Adaptive 8.45647125666523,Thoughtless,1.05,1.05,1.03,1.05,1.00,1.05,1.05,TRUE,FALSE,FALSE,Sniper Rifle Stasis Special
Tranquility,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Kinetic,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,47,37,47,36,40,61,4,2,45,"""A well-rounded grip, reliable and sturdy."" ",6.9891,Sniper Rifle 6.98913540541144,Sniper Rifle Adaptive 6.98913540541144,Tranquility,0.945,1.05,0.95,1.05,0.90,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Uzume RR4,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Solar,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,60,48,46,45,50,67,4,3,50,"""A well-rounded grip, reliable and sturdy."" ",9.2776,Sniper Rifle 9.27757520590901,Sniper Rifle Adaptive 9.27757520590901,Uzume RR4,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Bite of the Fox,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Kinetic,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,70,20,25,25,38,41,2,2,43,"""High damage, high recoil."" ",7.5153,Sniper Rifle 7.51534264983595,Sniper Rifle Aggressive 7.51534264983595,Bite of the Fox,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Frozen Orbit,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Void,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,72,27,20,30,45,48,3,2,50,"""High damage, high recoil."" ",8.0492,Sniper Rifle 8.04915224022768,Sniper Rifle Aggressive 8.04915224022768,Frozen Orbit,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Void Special
Occluded Finality,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Arc,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,75,29,30,34,59,47,3,3,43,"""High damage, high recoil."" ",9.5294,Sniper Rifle 9.52944008067432,Sniper Rifle Aggressive 9.52944008067432,Occluded Finality,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Arc Special
Silicon Neuroma,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Kinetic,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,74,17,24,27,35,47,3,4,43,"""High damage, high recoil."" ",8.7928,Sniper Rifle 8.79275847269459,Sniper Rifle Aggressive 8.79275847269459,Silicon Neuroma,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
The Long Goodbye,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Arc,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,1.05,1.05,-,-,-,-,-,-,-,-,70,49,48,40,44,55,62,4,0,40,"""A well-rounded grip, reliable and sturdy."" ",-,Sniper Rifle -,Sniper Rifle Adaptive -,The Long Goodbye,,,,,,,,FALSE,TRUE,FALSE,
Succession,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Kinetic,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,76,23,30,35,50,48,3,2,50,"""High damage, high recoil."" ",8.5303,Sniper Rifle 8.53031529496339,Sniper Rifle Aggressive 8.53031529496339,Succession,1.05,1.05,1.10,1.05,1.00,1.05,1.20,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
The Long Walk,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Solar,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,78,20,28,34,41,48,3,2,50,"""High damage, high recoil."" ",7.3211,Sniper Rifle 7.32109153109553,Sniper Rifle Aggressive 7.32109153109553,The Long Walk,0.945,1.05,0.90,1.05,0.90,1.05,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
